No_Faktur,Bulan_Pembelian,Nama_Mobil,Wilayah,Gender_Pembeli,Pekerjaan_Pembeli,Umur_Pembeli,Pendapatan_Bulanan_Juta
INV/2026/01469,Maret,Honda Brio,DKI Jakarta,Wanita,Rumah Tangga,63,26.9
INV/2026/01470,Juli,Honda HR-V,Jawa Timur (Surabaya),Wanita,PNS,30,24.4
INV/2026/01471,Agustus,Honda HR-V,Jawa Barat (Bandung),Pria,PNS,36,23.1
INV/2026/01472,Juni,Toyota Rush,Sumatera Utara (Medan),Wanita,Pengusaha,61,21.2
INV/2026/01473,November,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,46,14.8
INV/2026/01474,Desember,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Pengusaha,26,8.0
INV/2026/01475,Desember,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,PNS,32,17.0
INV/2026/01476,September,Mitsubishi Xpander,DKI Jakarta,Wanita,Rumah Tangga,55,22.5
INV/2026/01477,Juli,Honda Brio,DKI Jakarta,Wanita,BUMN,45,18.6
INV/2026/01478,Oktober,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,Karyawan Swasta,36,9.5
INV/2026/01479,Desember,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,Rumah Tangga,59,16.7
INV/2026/01480,Desember,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Pria,BUMN,29,16.3
INV/2026/01481,Maret,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,BUMN,26,17.5
INV/2026/01482,Juli,Toyota Innova Zenix,Jawa Barat (Bandung),Wanita,Karyawan Swasta,47,21.9
INV/2026/01483,November,Mitsubishi Xpander,Sumatera Utara (Medan),Wanita,Karyawan Swasta,39,23.7
INV/2026/01484,Februari,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),27,14.0
INV/2026/01485,Agustus,Honda HR-V,Sulawesi Selatan (Makassar),Pria,BUMN,58,25.8
INV/2026/01486,Oktober,Mitsubishi Xpander,Sumatera Utara (Medan),Pria,Professional (Dokter/Pengacara),34,27.1
INV/2026/01487,Juli,Honda Brio,DKI Jakarta,Pria,Pengusaha,49,20.6
INV/2026/01488,Mei,Honda HR-V,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,26,23.3
INV/2026/01489,Januari,Mitsubishi Xpander,DKI Jakarta,Pria,Pengusaha,34,25.9
INV/2026/01490,Desember,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,BUMN,38,9.2
INV/2026/01491,Juni,Honda HR-V,Sumatera Utara (Medan),Pria,Rumah Tangga,61,26.4
INV/2026/01492,April,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,PNS,53,11.7
INV/2026/01493,Agustus,Toyota Rush,Sumatera Utara (Medan),Pria,BUMN,50,12.5
INV/2026/01494,Agustus,Toyota Innova Zenix,DKI Jakarta,Pria,Pengusaha,24,19.6
INV/2026/01495,April,Mitsubishi Xpander,Sumatera Utara (Medan),Wanita,PNS,61,4.0
INV/2026/01496,Juni,Mitsubishi Xpander,DKI Jakarta,Pria,Karyawan Swasta,55,19.4
INV/2026/01497,Februari,Mitsubishi Xpander,Sumatera Utara (Medan),Wanita,Karyawan Swasta,61,25.9
INV/2026/01498,November,Toyota Rush,Jawa Tengah (Semarang),Wanita,PNS,48,4.8
INV/2026/01499,Juni,Mitsubishi Xpander,Jawa Barat (Bandung),Wanita,Pengusaha,34,26.7
INV/2026/01500,September,Toyota Rush,DKI Jakarta,Pria,Professional (Dokter/Pengacara),54,12.4
INV/2026/01501,November,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,PNS,27,19.7
INV/2026/01502,Juni,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,45,13.6
INV/2026/01503,Januari,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Pria,PNS,40,22.6
INV/2026/01504,Juli,Toyota Rush,Jawa Tengah (Semarang),Pria,PNS,37,26.2
INV/2026/01505,Mei,Toyota Avanza,DKI Jakarta,Pria,Professional (Dokter/Pengacara),61,23.2
INV/2026/01506,April,Toyota Avanza,Jawa Barat (Bandung),Wanita,Karyawan Swasta,49,18.0
INV/2026/01507,Februari,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,PNS,54,14.2
INV/2026/01508,Agustus,Honda HR-V,Jawa Tengah (Semarang),Pria,PNS,62,17.4
INV/2026/01509,Februari,Honda HR-V,Jawa Barat (Bandung),Pria,Pengusaha,34,23.2
INV/2026/01510,November,Honda Brio,Jawa Timur (Surabaya),Pria,Karyawan Swasta,64,23.5
INV/2026/01511,April,Daihatsu Sigra,Sulawesi Selatan (Makassar),Pria,Pengusaha,46,22.4
INV/2026/01512,November,Toyota Avanza,Sumatera Utara (Medan),Wanita,Rumah Tangga,63,7.7
INV/2026/01513,November,Toyota Rush,Sumatera Utara (Medan),Pria,Pengusaha,57,17.8
INV/2026/01514,Oktober,Toyota Rush,DKI Jakarta,Pria,PNS,48,12.9
INV/2026/01515,Januari,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,BUMN,59,23.3
INV/2026/01516,Januari,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,Pengusaha,28,11.9
INV/2026/01517,Juni,Toyota Rush,Jawa Barat (Bandung),Pria,Professional (Dokter/Pengacara),26,21.6
INV/2026/01518,April,Honda Brio,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),64,15.7
INV/2026/01519,Maret,Toyota Innova Zenix,Jawa Timur (Surabaya),Pria,Rumah Tangga,52,4.0
INV/2026/01520,Oktober,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,BUMN,44,25.4
INV/2026/01521,April,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,Karyawan Swasta,63,17.8
INV/2026/01522,Februari,Honda Brio,Jawa Barat (Bandung),Wanita,Pengusaha,31,28.2
INV/2026/01523,September,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),53,4.7
INV/2026/01524,April,Toyota Rush,Sumatera Utara (Medan),Pria,Professional (Dokter/Pengacara),64,15.7
INV/2026/01525,Oktober,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,PNS,51,16.3
INV/2026/01526,April,Honda Brio,Sumatera Utara (Medan),Wanita,Karyawan Swasta,60,20.2
INV/2026/01527,April,Mitsubishi Xpander,DKI Jakarta,Wanita,Karyawan Swasta,52,7.4
INV/2026/01528,Juni,Toyota Rush,DKI Jakarta,Pria,BUMN,39,22.4
INV/2026/01529,Maret,Daihatsu Sigra,Sumatera Utara (Medan),Pria,PNS,57,33.3
INV/2026/01530,Oktober,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Pengusaha,23,21.8
INV/2026/01531,Januari,Honda Brio,Jawa Timur (Surabaya),Pria,Rumah Tangga,35,18.7
INV/2026/01532,Mei,Mitsubishi Xpander,Jawa Tengah (Semarang),Wanita,Rumah Tangga,34,7.0
INV/2026/01533,Maret,Toyota Rush,Jawa Barat (Bandung),Pria,Karyawan Swasta,50,11.8
INV/2026/01534,Maret,Daihatsu Sigra,DKI Jakarta,Wanita,PNS,33,17.6
INV/2026/01535,September,Mitsubishi Xpander,DKI Jakarta,Wanita,Karyawan Swasta,60,13.8
INV/2026/01536,Mei,Toyota Avanza,Sumatera Utara (Medan),Wanita,Karyawan Swasta,23,26.2
INV/2026/01537,Maret,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,PNS,53,22.3
INV/2026/01538,Februari,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,Pengusaha,34,39.5
INV/2026/01539,November,Honda Brio,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),48,10.2
INV/2026/01540,Januari,Honda Brio,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),62,18.3
INV/2026/01541,Maret,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,BUMN,38,6.9
INV/2026/01542,Januari,Toyota Avanza,Jawa Timur (Surabaya),Pria,BUMN,61,4.0
INV/2026/01543,Juni,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Karyawan Swasta,52,23.8
INV/2026/01544,April,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,Rumah Tangga,55,22.0
INV/2026/01545,Oktober,Honda Brio,Sulawesi Selatan (Makassar),Pria,BUMN,45,11.2
INV/2026/01546,Juni,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,BUMN,56,18.7
INV/2026/01547,Januari,Honda HR-V,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),27,13.0
INV/2026/01548,Maret,Toyota Rush,DKI Jakarta,Wanita,BUMN,40,14.0
INV/2026/01549,Mei,Mitsubishi Xpander,Jawa Barat (Bandung),Pria,Karyawan Swasta,51,15.4
INV/2026/01550,Januari,Honda Brio,Jawa Tengah (Semarang),Wanita,BUMN,28,10.8
INV/2026/01551,Maret,Toyota Avanza,Sulawesi Selatan (Makassar),Pria,Rumah Tangga,31,12.3
INV/2026/01552,Desember,Honda HR-V,Sulawesi Selatan (Makassar),Pria,Pengusaha,62,12.5
INV/2026/01553,Juli,Daihatsu Sigra,DKI Jakarta,Pria,Professional (Dokter/Pengacara),53,21.4
INV/2026/01554,September,Honda Brio,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,55,4.0
INV/2026/01555,Februari,Toyota Innova Zenix,DKI Jakarta,Pria,PNS,49,16.2
INV/2026/01556,Desember,Honda HR-V,Sumatera Utara (Medan),Pria,PNS,36,9.3
INV/2026/01557,Februari,Toyota Avanza,Jawa Tengah (Semarang),Pria,Pengusaha,51,9.6
INV/2026/01558,Agustus,Toyota Avanza,DKI Jakarta,Wanita,Pengusaha,58,13.8
INV/2026/01559,Agustus,Honda HR-V,Jawa Barat (Bandung),Wanita,BUMN,50,17.9
INV/2026/01560,Juni,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,BUMN,43,16.3
INV/2026/01561,September,Honda Brio,Sulawesi Selatan (Makassar),Wanita,BUMN,25,9.5
INV/2026/01562,Oktober,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,PNS,41,23.8
INV/2026/01563,Februari,Toyota Avanza,Sumatera Utara (Medan),Pria,Professional (Dokter/Pengacara),53,10.8
INV/2026/01564,Agustus,Toyota Innova Zenix,Jawa Barat (Bandung),Wanita,Pengusaha,57,12.1
INV/2026/01565,September,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,Pengusaha,25,20.3
INV/2026/01566,April,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,PNS,48,20.6
INV/2026/01567,Oktober,Toyota Rush,Jawa Timur (Surabaya),Wanita,BUMN,38,13.1
INV/2026/01568,Januari,Toyota Innova Zenix,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),33,4.0
INV/2026/01569,Desember,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),43,10.9
INV/2026/01570,November,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Karyawan Swasta,38,19.3
INV/2026/01571,September,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,PNS,31,23.5
INV/2026/01572,Mei,Mitsubishi Xpander,Jawa Tengah (Semarang),Wanita,BUMN,22,17.4
INV/2026/01573,Agustus,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,BUMN,43,14.2
INV/2026/01574,November,Honda Brio,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),47,36.3
INV/2026/01575,Januari,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),39,15.0
INV/2026/01576,Januari,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,BUMN,35,22.9
INV/2026/01577,Agustus,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),50,7.3
INV/2026/01578,Juli,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,PNS,33,9.3
INV/2026/01579,Juli,Honda Brio,Jawa Barat (Bandung),Wanita,PNS,57,23.2
INV/2026/01580,November,Honda Brio,Sumatera Utara (Medan),Pria,Pengusaha,56,26.4
INV/2026/01581,Februari,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,Pengusaha,33,14.9
INV/2026/01582,Agustus,Honda Brio,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),28,4.0
INV/2026/01583,Desember,Honda HR-V,DKI Jakarta,Pria,Rumah Tangga,50,16.7
INV/2026/01584,Agustus,Toyota Rush,Jawa Tengah (Semarang),Wanita,PNS,32,19.5
INV/2026/01585,Februari,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,BUMN,54,18.8
INV/2026/01586,Februari,Toyota Innova Zenix,Jawa Tengah (Semarang),Wanita,PNS,27,13.5
INV/2026/01587,Juni,Toyota Rush,DKI Jakarta,Wanita,Rumah Tangga,36,16.8
INV/2026/01588,Oktober,Honda Brio,Sulawesi Selatan (Makassar),Pria,Rumah Tangga,53,12.0
INV/2026/01589,Maret,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,PNS,32,9.1
INV/2026/01590,Februari,Honda Brio,DKI Jakarta,Wanita,BUMN,44,24.0
INV/2026/01591,Maret,Mitsubishi Xpander,DKI Jakarta,Wanita,Rumah Tangga,47,18.8
INV/2026/01592,Mei,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,PNS,55,16.8
INV/2026/01593,Oktober,Mitsubishi Xpander,Jawa Barat (Bandung),Wanita,Rumah Tangga,55,13.9
INV/2026/01594,November,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,BUMN,50,16.6
INV/2026/01595,Oktober,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),25,19.3
INV/2026/01596,September,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,PNS,38,31.8
INV/2026/01597,Desember,Toyota Rush,Jawa Tengah (Semarang),Wanita,PNS,56,23.2
INV/2026/01598,Juni,Toyota Avanza,Sumatera Utara (Medan),Wanita,Rumah Tangga,34,12.7
INV/2026/01599,Juli,Honda HR-V,Sumatera Utara (Medan),Wanita,BUMN,62,12.8
INV/2026/01600,Oktober,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,PNS,60,11.5
INV/2026/01601,September,Toyota Rush,DKI Jakarta,Wanita,Pengusaha,36,16.4
INV/2026/01602,Mei,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,BUMN,50,11.5
INV/2026/01603,Agustus,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Pengusaha,50,21.8
INV/2026/01604,September,Honda Brio,DKI Jakarta,Wanita,PNS,32,4.0
INV/2026/01605,Oktober,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,BUMN,53,22.3
INV/2026/01606,Juli,Honda Brio,DKI Jakarta,Pria,Karyawan Swasta,23,20.2
INV/2026/01607,Februari,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Karyawan Swasta,35,28.1
INV/2026/01608,Desember,Mitsubishi Xpander,Sumatera Utara (Medan),Pria,Rumah Tangga,41,25.0
INV/2026/01609,Februari,Toyota Rush,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),43,12.5
INV/2026/01610,November,Honda HR-V,DKI Jakarta,Wanita,PNS,32,24.1
INV/2026/01611,November,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Karyawan Swasta,48,16.7
INV/2026/01612,September,Honda Brio,Sumatera Utara (Medan),Wanita,Pengusaha,24,4.0
INV/2026/01613,Desember,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,38,19.3
INV/2026/01614,April,Toyota Avanza,Jawa Timur (Surabaya),Pria,Karyawan Swasta,49,13.0
INV/2026/01615,Juli,Mitsubishi Xpander,Sumatera Utara (Medan),Wanita,Karyawan Swasta,50,18.0
INV/2026/01616,Agustus,Honda Brio,Jawa Barat (Bandung),Wanita,Pengusaha,42,31.2
INV/2026/01617,April,Honda Brio,Jawa Tengah (Semarang),Pria,PNS,37,19.8
INV/2026/01618,Juli,Mitsubishi Xpander,DKI Jakarta,Pria,PNS,58,9.9
INV/2026/01619,Juni,Toyota Rush,DKI Jakarta,Wanita,Rumah Tangga,41,25.7
INV/2026/01620,Agustus,Honda HR-V,Sumatera Utara (Medan),Wanita,Pengusaha,27,20.9
INV/2026/01621,Juli,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,BUMN,40,8.9
INV/2026/01622,Juli,Daihatsu Sigra,Jawa Barat (Bandung),Pria,Rumah Tangga,26,5.2
INV/2026/01623,Desember,Honda HR-V,Sumatera Utara (Medan),Wanita,Pengusaha,24,10.2
INV/2026/01624,Februari,Toyota Innova Zenix,DKI Jakarta,Wanita,Karyawan Swasta,22,24.7
INV/2026/01625,Juni,Toyota Rush,Jawa Barat (Bandung),Wanita,Pengusaha,59,15.6
INV/2026/01626,Juli,Honda Brio,Jawa Tengah (Semarang),Wanita,Pengusaha,36,18.6
INV/2026/01627,Juni,Toyota Innova Zenix,DKI Jakarta,Wanita,Rumah Tangga,55,7.3
INV/2026/01628,November,Toyota Innova Zenix,Jawa Timur (Surabaya),Pria,Karyawan Swasta,56,24.9
INV/2026/01629,Mei,Daihatsu Sigra,Jawa Tengah (Semarang),Wanita,PNS,46,4.0
INV/2026/01630,Juni,Toyota Rush,Jawa Tengah (Semarang),Pria,PNS,45,12.8
INV/2026/01631,Maret,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,33,21.3
INV/2026/01632,November,Toyota Avanza,Jawa Barat (Bandung),Wanita,Pengusaha,39,9.0
INV/2026/01633,Agustus,Honda Brio,DKI Jakarta,Wanita,Karyawan Swasta,36,22.9
INV/2026/01634,Februari,Toyota Avanza,Sulawesi Selatan (Makassar),Pria,PNS,37,11.0
INV/2026/01635,Februari,Honda HR-V,Jawa Tengah (Semarang),Wanita,PNS,48,8.2
INV/2026/01636,Februari,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),29,28.3
INV/2026/01637,Februari,Toyota Avanza,Jawa Tengah (Semarang),Wanita,Karyawan Swasta,46,19.2
INV/2026/01638,Juli,Mitsubishi Xpander,Jawa Barat (Bandung),Pria,BUMN,38,22.2
INV/2026/01639,Februari,Toyota Rush,Jawa Barat (Bandung),Pria,Pengusaha,50,26.1
INV/2026/01640,Desember,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Rumah Tangga,29,4.0
INV/2026/01641,Desember,Honda Brio,Jawa Timur (Surabaya),Pria,Rumah Tangga,36,23.1
INV/2026/01642,Juni,Toyota Rush,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),48,11.9
INV/2026/01643,Maret,Honda HR-V,Jawa Timur (Surabaya),Pria,BUMN,28,13.0
INV/2026/01644,September,Toyota Avanza,Sumatera Utara (Medan),Pria,Rumah Tangga,24,21.5
INV/2026/01645,Januari,Honda Brio,Jawa Tengah (Semarang),Pria,Pengusaha,50,15.1
INV/2026/01646,Oktober,Honda HR-V,Jawa Tengah (Semarang),Pria,Rumah Tangga,45,22.8
INV/2026/01647,September,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,24,17.7
INV/2026/01648,September,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,PNS,41,19.3
INV/2026/01649,Juni,Toyota Innova Zenix,DKI Jakarta,Wanita,PNS,36,14.1
INV/2026/01650,November,Toyota Innova Zenix,Jawa Barat (Bandung),Wanita,PNS,46,9.5
INV/2026/01651,Februari,Daihatsu Sigra,Jawa Tengah (Semarang),Wanita,BUMN,51,12.1
INV/2026/01652,Juli,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,BUMN,35,17.2
INV/2026/01653,Juni,Toyota Rush,DKI Jakarta,Wanita,BUMN,28,32.7
INV/2026/01654,November,Toyota Innova Zenix,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),38,29.8
INV/2026/01655,Juli,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),41,12.8
INV/2026/01656,Desember,Toyota Avanza,Sulawesi Selatan (Makassar),Pria,BUMN,57,18.5
INV/2026/01657,Januari,Honda Brio,Sumatera Utara (Medan),Pria,BUMN,30,15.7
INV/2026/01658,Mei,Toyota Avanza,Jawa Barat (Bandung),Wanita,Rumah Tangga,59,19.0
INV/2026/01659,Oktober,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),43,20.1
INV/2026/01660,Mei,Toyota Rush,Jawa Barat (Bandung),Pria,Pengusaha,23,22.2
INV/2026/01661,Juni,Honda HR-V,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),45,4.0
INV/2026/01662,Februari,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Rumah Tangga,29,20.9
INV/2026/01663,Oktober,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,Pengusaha,32,14.8
INV/2026/01664,September,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),34,12.4
INV/2026/01665,April,Daihatsu Sigra,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),38,24.4
INV/2026/01666,Maret,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,29,29.7
INV/2026/01667,November,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),42,23.5
INV/2026/01668,Agustus,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,Rumah Tangga,39,13.9
INV/2026/01669,April,Mitsubishi Xpander,DKI Jakarta,Pria,PNS,51,9.4
INV/2026/01670,Februari,Toyota Rush,Sulawesi Selatan (Makassar),Pria,Rumah Tangga,39,4.0
INV/2026/01671,Juni,Toyota Innova Zenix,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),52,19.5
INV/2026/01672,September,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Pengusaha,59,22.6
INV/2026/01673,Juni,Toyota Innova Zenix,DKI Jakarta,Wanita,Rumah Tangga,53,17.2
INV/2026/01674,Februari,Honda HR-V,Jawa Barat (Bandung),Pria,Karyawan Swasta,32,25.5
INV/2026/01675,Mei,Daihatsu Sigra,Jawa Timur (Surabaya),Pria,Pengusaha,46,7.4
INV/2026/01676,Oktober,Honda Brio,Sulawesi Selatan (Makassar),Wanita,PNS,54,16.6
INV/2026/01677,April,Toyota Rush,Jawa Barat (Bandung),Wanita,BUMN,59,16.0
INV/2026/01678,Juli,Honda HR-V,Sulawesi Selatan (Makassar),Pria,Rumah Tangga,62,17.1
INV/2026/01679,September,Honda Brio,Jawa Tengah (Semarang),Pria,Rumah Tangga,29,27.3
INV/2026/01680,Oktober,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Pengusaha,32,17.2
INV/2026/01681,Oktober,Honda Brio,Jawa Barat (Bandung),Wanita,PNS,43,15.6
INV/2026/01682,November,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,PNS,45,10.5
INV/2026/01683,November,Toyota Innova Zenix,DKI Jakarta,Wanita,Pengusaha,62,28.6
INV/2026/01684,September,Honda Brio,Jawa Tengah (Semarang),Wanita,Karyawan Swasta,38,6.6
INV/2026/01685,Januari,Honda HR-V,Jawa Tengah (Semarang),Pria,BUMN,33,13.6
INV/2026/01686,Oktober,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,Pengusaha,53,31.6
INV/2026/01687,November,Toyota Rush,Sulawesi Selatan (Makassar),Pria,Pengusaha,36,21.7
INV/2026/01688,Desember,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,Rumah Tangga,37,17.8
INV/2026/01689,Mei,Honda HR-V,Jawa Tengah (Semarang),Pria,BUMN,43,18.2
INV/2026/01690,Januari,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,49,10.4
INV/2026/01691,Maret,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Rumah Tangga,41,17.5
INV/2026/01692,Mei,Honda Brio,DKI Jakarta,Pria,Pengusaha,54,15.2
INV/2026/01693,Desember,Honda HR-V,Sumatera Utara (Medan),Wanita,Pengusaha,31,19.4
INV/2026/01694,Mei,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Karyawan Swasta,61,6.0
INV/2026/01695,Juni,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Pengusaha,53,21.2
INV/2026/01696,Juni,Honda Brio,Jawa Tengah (Semarang),Wanita,Pengusaha,54,26.1
INV/2026/01697,Januari,Toyota Rush,DKI Jakarta,Pria,BUMN,23,16.4
INV/2026/01698,Maret,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Pengusaha,54,23.2
INV/2026/01699,Maret,Toyota Avanza,Sumatera Utara (Medan),Wanita,Rumah Tangga,54,20.5
INV/2026/01700,Oktober,Mitsubishi Xpander,Sumatera Utara (Medan),Wanita,Karyawan Swasta,62,13.1
INV/2026/01701,November,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,Rumah Tangga,34,9.5
INV/2026/01702,Juli,Mitsubishi Xpander,DKI Jakarta,Pria,PNS,51,10.7
INV/2026/01703,Februari,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,BUMN,54,20.3
INV/2026/01704,Maret,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,34,17.6
INV/2026/01705,Desember,Honda HR-V,Sumatera Utara (Medan),Pria,Karyawan Swasta,47,28.2
INV/2026/01706,November,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Professional (Dokter/Pengacara),43,24.3
INV/2026/01707,Januari,Honda HR-V,Jawa Timur (Surabaya),Pria,Rumah Tangga,60,24.3
INV/2026/01708,Februari,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,23,20.1
INV/2026/01709,Desember,Daihatsu Sigra,DKI Jakarta,Wanita,Karyawan Swasta,59,10.3
INV/2026/01710,September,Honda HR-V,Jawa Tengah (Semarang),Wanita,BUMN,60,20.6
INV/2026/01711,April,Honda Brio,Jawa Barat (Bandung),Wanita,Pengusaha,47,18.5
INV/2026/01712,Juli,Toyota Innova Zenix,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),36,8.9
INV/2026/01713,Juli,Honda Brio,Jawa Timur (Surabaya),Wanita,PNS,55,27.7
INV/2026/01714,Agustus,Toyota Rush,Sumatera Utara (Medan),Wanita,Professional (Dokter/Pengacara),63,26.8
INV/2026/01715,Juni,Toyota Rush,Sulawesi Selatan (Makassar),Pria,Pengusaha,61,8.8
INV/2026/01716,Maret,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Pengusaha,32,12.9
INV/2026/01717,Juni,Honda HR-V,Jawa Timur (Surabaya),Wanita,Rumah Tangga,24,13.6
INV/2026/01718,Mei,Daihatsu Sigra,DKI Jakarta,Wanita,BUMN,27,22.9
INV/2026/01719,Desember,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,Professional (Dokter/Pengacara),30,22.0
INV/2026/01720,Juni,Honda Brio,Jawa Barat (Bandung),Wanita,PNS,27,18.4
INV/2026/01721,Oktober,Honda Brio,Jawa Timur (Surabaya),Pria,Karyawan Swasta,30,20.2
INV/2026/01722,Oktober,Mitsubishi Xpander,DKI Jakarta,Wanita,BUMN,60,7.7
INV/2026/01723,Februari,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,Pengusaha,52,21.1
INV/2026/01724,Januari,Toyota Rush,DKI Jakarta,Pria,Professional (Dokter/Pengacara),53,17.2
